ID,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,Class
16,1,307,Diamond,7,35,79.2917121777351,92,23,4,1,59,No,97,-1.60561713538876,12,0,21,72,181,63,52,32,91,78.0152727107888,40,0,3.90661585662614,2,11,5,14,0,5.15812048399467,46,17,147,60,Male,228.510704234028,94,59,92,21.2060447219192,66,Yes,63,63,1670,45,11.6276053798137,2,14,87,23,-44.7551474301078,6,Low,2,11,38,35,14,5,66,1
17,0,48,Platinum,1,12,-22.8098709037159,13,1,0,0,10,No,10,3.67100335216347,2,0,4,12,26,6,6,6,17,-27.9695014822109,6,0,-4.50207285922958,0,2,2,0,3,-0.469911487356309,10,4,16,5,Female,-131.099108549026,10,10,13,5.33783245060565,8,No,6,6,241,7,-1.12041326883836,2,0,10,1,-6.37764841665191,1,Medium,0,0,7,12,1,0,8,0
18,0,57,Gold,4,0,-34.3229856973596,4,1,0,0,1,Yes,7,1.79205636536612,1,0,3,11,27,1,3,1,18,-32.8954755299336,2,0,2.16853357583134,0,0,0,1,0,-1.18388282898809,6,0,19,2,Female,-123.783546834653,9,14,5,-7.03664381917736,14,No,1,1,211,2,-1.91380411423575,4,1,9,1,3.71005599244551,0,Low,0,0,0,0,0,1,14,2
19,0,66,Gold,0,2,-21.6526076938984,18,0,0,0,7,No,14,-0.77681361820456,3,0,5,12,29,3,3,5,20,-29.8940147286857,7,0,1.10835203491215,1,2,2,2,0,1.62956124982066,7,0,22,1,Female,-114.038762539636,16,10,7,-3.85636885022107,13,Yes,3,3,247,7,-7.65663047012443,4,2,15,0,1.8250866037212,0,Low,0,0,0,2,0,0,13,0
20,0,140,Gold,12,19,31.3155606090576,65,12,9,3,46,No,61,10.6499904684372,6,0,15,36,94,16,22,12,54,22.1543512196329,8,0,-2.05187391124856,1,4,3,21,0,-10.0117940870073,35,12,82,37,Male,22.1563372393251,46,32,71,-16.3431344404492,58,No,16,16,933,21,-16.2063809219824,0,21,41,12,-58.1162176522411,0,Low,0,4,16,19,13,2,58,3
21,0,28,Platinum,1,0,-32.8149982565423,5,0,1,0,2,Yes,0,1.26613908160561,2,0,0,5,7,3,3,0,13,-36.799637487762,1,0,2.80571093370596,0,1,2,0,0,-0.769784194296468,1,2,13,0,Female,-161.042439130776,7,1,3,-2.02952973985927,8,Yes,3,3,103,0,-0.958019406913412,0,0,4,0,-0.017870515897557,0,Low,0,0,0,0,0,0,8,0
22,2,83,Silver,0,3,-32.2219358860938,4,0,0,1,9,No,8,1.58020235787,0,0,3,2,34,2,5,3,24,-28.8376531914489,4,0,0.271058785000915,0,0,0,2,0,-0.223803063179098,6,2,30,4,Male,-94.9283449423135,14,19,6,-6.37793749487223,16,Yes,2,2,275,7,0.215286182359782,8,2,15,0,10.8650278848011,0,High,0,2,5,3,1,0,16,2
23,4,186,Gold,7,15,-2.97158142239173,32,5,0,1,31,No,27,10.1927255895776,6,1,18,35,77,10,12,7,60,12.7285147417281,26,0,3.32640375485036,2,10,3,3,0,7.78325933553012,22,13,89,5,Female,43.6500319257761,46,60,21,-17.4502225424514,51,Yes,10,10,845,24,-6.23928669423029,10,3,47,5,19.1056960402151,0,Medium,1,1,13,15,0,0,51,0
24,0,43,Gold,1,13,-25.815827272993,5,2,2,0,8,No,10,5.92049234754092,2,0,1,13,24,11,7,3,11,-23.7622431687959,12,0,-0.445672770685458,0,4,0,3,0,3.96170627806995,3,4,17,9,Female,-135.679495614831,11,13,15,9.3882329472685,8,Yes,11,11,262,6,8.22998773113943,1,3,8,2,-10.2858380853262,2,Medium,0,2,10,13,0,2,8,0
25,0,240,Diamond,10,21,14.8084015490977,38,5,6,0,42,Yes,40,7.21166838639905,8,0,24,57,119,35,43,15,99,62.1683820440037,34,0,7.79796897356223,1,12,3,7,15,8.39168559705201,47,21,113,15,Female,128.750420979273,90,63,63,-16.861944708684,83,Yes,35,35,1313,29,12.0525630984403,0,7,62,5,-2.61052595230937,0,Medium,0,2,17,21,3,4,83,0
26,1,130,Gold,2,10,-1.94605230080527,32,5,1,0,8,No,29,2.7675687982849,4,0,6,17,52,16,7,6,28,-16.7008373135418,11,0,4.01116569784903,0,2,2,4,0,0.049410193477063,10,5,39,6,Female,-42.8308078542195,31,23,16,6.1575271322949,16,Yes,16,16,488,7,-2.76260477720738,15,4,36,5,10.547098563296,0,Medium,3,1,7,10,0,2,16,2
27,2,197,Gold,7,23,37.3581187019094,67,10,8,1,36,No,64,1.67526122071581,9,1,21,46,112,26,24,17,108,11.2236579967406,27,0,-5.31649300907788,2,4,4,15,0,8.18414588395433,39,0,123,10,Female,101.603778034121,68,64,35,18.2809654169315,22,Yes,26,26,1090,25,-8.97521397276713,0,15,35,10,-19.5383221233682,3,Low,3,10,20,23,3,2,22,3
28,0,41,Silver,0,0,-34.6166303722572,0,0,0,0,3,No,3,-0.351331082930154,0,0,2,2,14,5,3,0,8,-40.808996771595,3,0,2.80559814353337,0,0,0,0,0,1.86661053007279,2,0,13,0,Female,-149.048400450729,6,5,0,4.85327887206263,0,Yes,5,5,106,3,4.52307506900683,0,0,3,0,4.95515567312404,0,High,0,1,5,0,0,0,0,0
29,12,113,Diamond,2,2,-13.4036999033544,19,1,0,0,7,Yes,14,-3.17644494976148,2,0,8,10,56,16,9,6,39,-21.0665218262804,8,0,6.83965126202258,0,1,2,2,0,0.338090391850642,13,1,28,7,Female,-60.0131757358411,28,15,9,4.29513939523331,14,Yes,16,16,436,7,3.69381551469716,7,2,11,1,15.815422655925,0,Medium,0,0,6,2,0,0,14,0
30,0,41,Platinum,0,1,-28.9898133579954,8,0,0,0,1,No,4,-0.291298313656118,1,0,0,0,16,2,2,3,3,-36.3496209003708,2,0,0.83008082355186,0,1,0,0,0,-0.866109504304415,1,0,7,3,Female,-150.748144431228,5,8,1,-2.148312551753,8,Yes,2,2,114,0,-1.90649154651533,5,0,11,0,4.963992785682,0,High,0,0,6,1,0,1,8,2
31,4,102,Gold,0,3,-33.3755072961275,2,0,1,0,4,No,5,-5.00519522167324,1,0,3,8,40,2,6,13,14,-19.4357860277612,11,0,-2.7075274153392,1,3,0,0,0,2.09675578123604,5,0,33,0,Female,-82.0671028736463,21,13,10,-8.86357234750582,22,Yes,2,2,313,2,1.77644748905972,9,0,16,0,16.5179516182561,0,Medium,0,1,8,3,0,0,22,0
32,2,73,Platinum,2,8,-20.8897822813538,14,1,0,0,6,No,10,2.16362094033137,1,0,4,6,35,7,6,4,14,-31.5310723692405,5,0,-1.68294400180697,0,0,1,5,3,0.083760734500635,3,8,27,2,Female,-106.112273415833,11,9,15,6.39898097824357,5,Yes,7,7,276,5,-0.514366839161662,2,5,11,1,-1.00355339625763,0,Medium,0,0,6,8,2,0,5,2
33,2,140,Gold,1,2,-14.3168916473524,25,1,1,0,12,No,28,1.53476278926415,1,0,8,6,58,4,12,3,36,-18.1311382817915,9,0,1.74619103558282,0,1,0,0,0,4.12496484891912,13,0,35,13,Female,-35.5821148647936,32,13,8,-10.201919968599,25,Yes,4,4,451,3,-9.60658583929495,6,0,21,1,19.6586149776667,0,Low,0,0,5,2,0,1,25,0
34,0,61,Platinum,1,3,-29.6378740636766,5,1,0,0,10,Yes,2,1.91490194354607,0,0,4,5,15,4,7,1,14,-33.899129841274,1,0,0.06768853115567,0,0,0,2,0,-0.54534762183665,3,4,21,2,Male,-126.966933170436,8,14,4,0.256466642360612,8,Yes,4,4,191,5,2.01344162270498,4,2,11,1,10.7887444291765,0,High,0,0,8,3,0,0,8,2
35,4,50,Gold,3,3,-33.7841603867082,0,1,1,0,6,Yes,5,-2.3187719658955,1,0,2,6,22,9,6,8,6,-24.850038373021,1,0,1.72254768407071,0,0,0,3,2,-5.86497337659315,7,4,22,5,Male,-133.73462643294,12,4,17,-1.80185602521981,16,No,9,9,230,2,6.86886855362363,4,3,14,1,-7.10850262413099,1,Medium,0,0,0,3,1,1,16,2
36,0,44,Platinum,0,0,-31.3530131863826,4,0,0,0,2,Yes,1,-0.357476958674882,2,0,1,1,12,4,2,1,9,-40.0071916874935,1,0,2.46834185383056,0,0,2,2,0,-0.616448660531701,5,0,10,0,Female,-148.393474149759,10,4,5,1.89986780654241,3,Yes,4,4,107,2,1.81996222427923,6,2,10,0,5.60598607910598,0,Medium,0,0,5,0,0,0,3,0
37,0,56,Platinum,1,3,-33.888524347504,4,0,1,0,6,No,7,3.07176667610664,2,0,3,13,24,2,3,0,14,-36.9712343052178,1,0,0.459638626035062,0,1,0,1,0,-0.962641077911616,4,0,18,7,Female,-127.514988186771,5,12,3,-0.87644510940343,7,Yes,2,2,199,3,-1.11146609327603,0,1,9,0,4.72089195673709,0,Low,0,1,0,3,0,2,7,3
38,0,31,Platinum,0,2,-29.7416843325519,9,0,1,0,4,Yes,4,-1.74928144517758,0,0,1,3,13,2,1,5,7,-37.4821632852563,7,0,-0.579778532621995,0,2,0,1,0,2.93517404112402,2,0,7,0,Female,-157.551669221342,4,11,1,2.2483083044139,3,Yes,2,2,129,2,-3.77693067074444,1,1,7,0,1.31898830471827,0,Low,0,0,0,2,0,0,3,1
39,0,32,Platinum,0,0,-36.6497328115847,0,0,0,0,2,No,3,-2.69232462815109,0,0,1,1,8,1,2,5,4,-39.054343470083,0,0,-1.00448669641005,0,0,0,0,0,-2.0861406288972,2,0,4,0,Female,-162.9299452801,3,2,1,-1.04769685645865,5,Yes,1,1,73,0,1.07153221386146,0,0,3,0,3.65695166311353,0,Medium,0,1,4,0,0,0,5,0
40,0,53,Gold,0,5,-30.0443249720247,3,1,0,1,5,No,8,-0.334865141226801,0,0,1,8,24,8,4,4,11,-36.2495891729638,2,0,0.018655408113163,0,0,0,1,0,-1.66496248302276,4,0,26,2,Female,-128.369098112523,11,6,9,8.11888642885106,1,Yes,8,8,185,2,5.93099034712134,0,1,3,1,-3.15992281321359,0,Medium,0,2,7,5,2,0,1,3
41,0,109,Platinum,1,13,-12.0008376987684,23,2,2,0,15,No,18,4.20524233059361,5,0,9,17,55,3,11,9,33,-14.785227364849,8,0,-7.20376516123313,1,1,2,3,0,-0.591709370764158,10,3,43,6,Female,-52.4133709555786,27,45,6,-5.87773663197865,24,Yes,3,3,504,9,-5.84686274497284,4,3,24,2,11.5516650983442,0,High,0,3,18,13,0,2,24,2
42,0,125,Platinum,0,1,-23.7056100389418,4,0,0,0,19,No,8,-11.3180710591188,0,0,6,29,62,25,6,14,37,-17.3251627596521,13,0,10.2990888997549,0,0,0,2,0,-0.326595852293806,12,4,37,0,Male,-43.4305447200022,12,34,11,11.9796918267812,11,No,25,25,530,5,17.4581068079011,0,2,25,0,21.3667434251467,0,Low,0,2,0,1,0,0,11,0
43,2,63,Silver,0,2,-36.3766283564753,1,1,1,0,4,Yes,5,-1.05542135497676,3,0,3,2,21,2,4,6,7,-30.1031727375866,3,0,-0.59968435152132,0,1,0,1,0,-1.56760902102282,7,0,15,2,Female,-128.57277767616,8,5,5,-5.23581343407001,14,Yes,2,2,179,2,0.487812653205023,8,1,13,1,9.07621493325369,0,High,0,0,0,2,0,3,14,2
44,0,76,Silver,0,4,-28.8147461511081,4,2,1,0,8,No,8,0.927144502595434,4,0,1,20,30,8,10,3,19,-26.7463658214306,4,0,1.09941174790034,0,0,2,0,5,0.409052314453312,5,0,28,6,Female,-103.271106833651,13,20,7,1.15740350853878,12,Yes,8,8,312,2,5.76648055513718,0,0,19,2,8.37132096442654,0,Low,1,0,9,4,0,2,12,2
45,0,196,Platinum,6,18,20.220042967831,51,4,4,3,31,No,48,-3.84064064483477,8,1,11,53,109,19,25,26,79,22.9733639084647,14,0,-7.13604222880635,0,9,3,6,4,-5.54346026603333,16,10,106,10,Female,81.2631316509255,62,60,38,-8.41653426692305,50,Yes,19,19,1015,28,-6.3777069295977,0,6,54,4,-8.68131305995789,2,Medium,0,3,23,18,9,4,50,2
46,0,142,Silver,3,6,-30.1455869502618,6,1,1,0,7,No,10,3.14589448963711,2,0,9,17,61,5,13,6,36,-10.5820477585181,5,0,-0.193631271426616,1,1,1,2,0,-2.5056826443077,16,0,47,12,Male,-31.4727047545326,23,15,7,-14.4329780915538,34,Yes,5,5,491,8,0.829542100332161,4,2,18,1,25.9401391648748,0,Low,0,0,2,6,0,0,34,0
47,3,201,Platinum,2,3,5.45124827980071,44,4,6,0,32,Yes,40,0.800376384016322,6,1,12,47,98,14,25,10,85,21.5275921524707,11,0,6.42343490192557,1,9,0,6,7,-1.63004024014869,26,1,116,5,Female,76.2915843432667,71,31,27,-28.5001306927131,65,Yes,14,14,958,21,-12.2281343659895,0,6,44,4,2.64260237832964,0,High,1,8,0,3,0,4,65,2
48,0,307,Gold,2,30,34.9862532399186,55,12,5,0,40,No,50,1.00424529252907,7,3,25,49,113,37,28,26,93,35.5827658565235,25,0,-2.87790465016193,0,3,4,8,19,-2.2867093364595,42,4,111,25,Female,179.372079100562,72,98,36,11.3782523401075,46,Yes,37,37,1275,45,8.8277011082807,0,8,80,12,44.9433929727755,0,Low,4,4,34,30,4,0,46,3
49,1,57,Platinum,1,3,-29.2676682859757,8,0,1,0,4,No,4,-1.23977707281065,3,1,3,4,17,5,4,5,17,-33.8886602177218,4,0,-0.086178889236225,1,0,0,1,0,-0.275569369857264,5,0,16,3,Female,-130.978969913976,10,9,3,2.42566698214673,6,Yes,5,5,182,6,-0.836823692371583,5,1,8,0,9.17874124629416,0,Medium,0,0,0,3,0,1,6,2
50,5,114,Silver,5,14,11.1574359598508,41,8,6,0,13,No,39,0.042007698642597,3,0,6,27,47,18,15,13,35,-11.3173045428795,5,0,-3.92411195051615,1,0,1,12,1,-6.0249633902156,4,11,73,9,Female,-38.9473362500816,41,26,16,11.0251883142852,15,Yes,18,18,580,12,-2.36527913753242,0,12,34,8,-11.0119582071604,4,Medium,3,4,18,14,3,1,15,3
51,2,172,Gold,4,13,-9.244725815964,29,1,3,0,29,No,27,9.07164627004107,4,0,10,44,100,6,12,8,52,12.5595038175487,20,0,2.0233477918985,0,2,2,0,0,2.24907572736178,12,8,99,16,Female,42.8888748330741,49,56,17,-26.3586943491213,58,No,6,6,860,14,-9.40770914543081,10,0,40,1,5.36400422271714,0,Low,1,2,8,13,3,2,58,0
52,0,56,Silver,1,3,-28.7936522393994,7,0,0,0,3,Yes,4,-5.41429585977581,2,0,8,8,30,8,7,9,11,-31.2382307290212,8,0,-1.20931757857641,0,1,0,1,2,2.80973308286152,8,0,19,0,Female,-126.592120363472,9,11,2,7.37194700832395,3,Yes,8,8,222,3,2.10328328600127,0,1,9,0,5.15655045722509,0,Low,1,1,0,3,1,2,3,0
53,0,146,Gold,1,2,-9.7894451086318,30,1,3,0,17,No,27,4.28023358491888,4,0,10,19,79,4,14,5,47,4.66255612625888,11,0,5.72016859309741,0,6,2,2,0,0.507698138815442,23,0,60,8,Male,-2.73628577156042,43,43,21,-30.9478946813546,56,Yes,4,4,646,16,-12.0404535785565,11,2,46,1,5.81871459549311,0,Low,0,2,5,2,0,2,56,0
54,0,33,Gold,1,1,-37.8846157972926,0,0,0,0,4,Yes,2,1.39755491583902,1,0,1,2,17,0,0,1,9,-40.0201201411233,1,0,0.68946884189767,0,0,1,2,0,-1.14476875457024,2,0,10,0,Female,-153.621630006449,6,9,1,-2.43876199816463,6,Yes,0,0,112,1,-0.467972054117319,0,2,7,0,1.3013354184147,0,Low,0,0,0,1,0,0,6,0
55,0,131,Silver,3,1,-20.4604175127745,16,1,0,0,9,No,11,-9.6064655587065,2,1,6,17,54,10,10,16,44,-15.6542861196005,8,0,-0.172764090011456,0,3,0,1,0,-1.49701085378066,8,0,38,16,Male,-40.6190845180647,15,26,8,-3.46063063516397,21,Yes,10,10,489,13,-1.08987691152242,7,1,24,1,24.7926820697,0,Low,0,3,0,1,0,1,21,3
56,2,122,Gold,2,11,-12.946703734993,21,4,4,0,24,No,24,10.5575817467265,4,0,8,24,65,6,15,4,41,5.19535076711984,7,0,1.54009828281588,1,4,1,3,0,-4.27174070840333,25,4,56,4,Female,-28.9917496731967,46,42,28,-24.5856689233286,53,Yes,6,6,634,10,-2.85804439371925,9,3,37,4,-4.04869913713241,0,Low,1,1,16,11,1,2,53,2
57,8,264,Gold,3,11,37.3739084488268,71,8,6,0,38,No,69,2.16429098196997,19,1,23,92,162,25,19,15,98,35.4785343259353,27,0,11.4501253210199,2,3,9,17,17,1.62560899967739,40,6,87,29,Female,169.547942362551,89,112,52,-21.0389192521641,70,Yes,25,25,1439,32,-14.342425301866,0,17,71,8,0.150146377531886,2,Medium,3,7,9,11,16,7,70,3
58,0,209,Platinum,9,23,54.4986042017354,84,9,2,0,42,No,79,4.41451463802898,6,0,11,52,138,33,36,14,67,31.6412688605455,30,0,0.516895256004277,1,6,3,15,0,10.3593044372576,30,1,146,24,Female,126.623174638494,65,81,49,9.22581911378649,43,Yes,33,33,1203,29,-12.4214273894417,0,15,58,9,-43.2272355881608,1,Low,0,7,20,23,9,2,43,3
59,0,98,Gold,1,1,-23.5016469617635,16,1,3,0,10,Yes,20,-1.32184478830479,0,0,8,12,49,3,12,7,24,-15.9789228605167,7,0,0.002329732282826,0,2,0,1,0,1.27945810175319,14,0,45,2,Male,-70.6023806338074,21,15,10,-13.0072683987492,28,Yes,3,3,374,3,-6.70624305824049,0,1,13,1,1.66883318270026,0,High,0,2,0,1,0,0,28,2
60,0,67,Platinum,0,3,-30.5379453127586,4,0,0,0,4,Yes,1,-2.78920319358368,2,0,5,7,24,5,5,7,20,-32.4624398983653,4,0,-1.10282894234099,0,1,1,4,0,-0.337149911006307,10,0,21,0,Male,-119.184520393998,12,6,5,1.92930449434087,7,Yes,5,5,212,5,2.85389708344581,1,4,10,0,11.0076928782891,0,Low,0,0,5,3,0,1,7,2
61,1,123,Platinum,3,19,17.3634303822249,49,9,8,0,32,No,44,6.06652096933521,3,0,4,21,89,21,23,9,58,0.889018861914651,12,0,-3.42081154043105,1,4,1,6,1,0.552063544739817,21,5,90,7,Female,4.73347202166006,40,46,41,10.585386280156,23,No,21,21,748,12,-5.40218045583622,0,6,29,9,-35.9819033198239,3,Low,0,5,16,19,8,1,23,1
62,2,68,Platinum,3,5,-23.6687750910696,7,1,1,0,6,Yes,12,-1.90553226957848,4,0,1,7,35,13,8,7,20,-22.3387308648418,11,0,3.14966336916273,0,2,3,1,6,2.69084773322972,9,2,28,4,Female,-106.073294402551,12,15,16,5.96551510654901,11,Yes,13,13,313,6,8.53688110386466,3,1,15,1,-4.32810117048573,0,Medium,0,0,10,5,0,1,11,2
63,1,127,Platinum,2,10,7.28645627416136,37,1,1,2,16,No,33,-0.866133440700032,3,1,11,40,61,21,13,7,35,-19.8015156614536,7,0,2.60088528077242,0,0,0,10,0,-1.25901812009932,13,0,64,4,Female,-28.1883861701069,35,27,17,15.4766908696889,7,Yes,21,21,551,9,0.731555892582251,0,10,23,1,-2.76891811696056,0,Low,0,3,13,10,1,2,7,3
64,1,117,Silver,1,5,-18.9804405134647,19,2,0,0,10,No,17,-3.99586637892403,2,0,9,17,77,7,14,11,38,-14.6700108073899,17,0,-2.41506885082323,0,1,2,1,0,8.80250384596208,10,3,57,4,Female,-29.4288482846224,37,57,4,-1.45429179218692,19,Yes,7,7,573,4,-4.85397894957617,6,1,27,2,9.22635155725594,0,Low,0,0,1,5,0,0,19,0
65,3,134,Silver,2,9,-15.5249077006983,19,2,4,0,9,No,21,3.68091404832158,3,0,5,17,46,10,6,8,33,-8.26893265851406,11,0,3.32527085482814,2,1,0,3,0,-2.54608073206611,11,13,45,6,Female,-35.7621365760386,25,40,23,-9.6959627140364,33,Yes,10,10,527,4,-0.76222342065128,12,3,44,2,13.583186528238,0,High,0,0,7,9,1,1,33,2
66,4,178,Gold,2,2,-26.8713614348046,8,0,1,0,4,No,11,-1.68874053080145,0,0,4,15,43,6,8,6,66,-26.252792508797,3,0,0.67917064508131,0,2,0,2,0,-1.57821096219625,7,0,34,19,Female,-5.47724331671573,25,33,3,-3.0418299071561,15,Yes,6,6,624,8,1.53445737553043,0,2,18,0,55.7697092200091,0,Medium,0,0,6,2,0,0,15,3
67,0,61,Gold,0,5,-28.2707032978172,10,2,0,0,3,Yes,8,2.10257797817818,2,0,1,4,30,1,5,3,16,-35.0458002475957,1,0,-3.30667061679781,2,2,0,2,0,-0.931434476212498,0,4,25,0,Male,-120.20281466715,9,3,7,-0.121676412646103,7,Yes,1,1,198,4,-4.26999087417499,1,2,8,2,0.841710808619726,0,Low,0,2,3,5,3,0,7,2
